classification,symbol,trades,net_pnl,avg_pnl,win_rate
Fear,MEME,15,540.39498,36.026332000000004,0.13333333333333333
Fear,MERL,2,-3.17364,-1.58682,0.0
Fear,NEAR,58,5191.94818,89.51634793103449,0.9137931034482759
Fear,NTRN,8,189.04579,23.63072375,0.625
Fear,ONDO,104,892.205567,8.578899682692308,0.2403846153846154
Fear,OP,26,12.98596,0.49946,0.038461538461538464
Fear,PENDLE,147,2189.900712,14.897283755102041,0.5102040816326531
Fear,PENGU,38,88.070705,2.3176501315789473,0.5263157894736842
Fear,PURR,114,3330.992521,29.219232640350878,0.9122807017543859
Fear,PURR/USDC,152,5650.47656,37.17418789473684,0.5394736842105263
Fear,RENDER,3,5.309419999999999,1.7698066666666665,0.6666666666666666
Fear,RNDR,2,47.6918,23.8459,0.5
Fear,RUNE,20,278.327902,13.916395099999999,0.8
Fear,S,116,-8642.64088,-74.50552482758621,0.31896551724137934
Fear,SAND,8,-15.020439999999999,-1.8775549999999999,0.0
Fear,SOL,1086,826402.583451,760.9600215939226,0.45119705340699817
Fear,SPX,14,2057.209938,146.943567,0.9285714285714286
Fear,STRK,7,13.53095,1.9329928571428572,0.7142857142857143
Fear,SUI,131,1129.126934,8.619289572519083,0.183206106870229
Fear,SUSHI,13,161.497127,12.422855923076924,0.38461538461538464
